Annotation tag,Upper left corner X,Upper left corner Y,Lower right corner X,Lower right corner Y
stop,862,104,916,158
speedLimitUrdbl,425,197,438,213
stop,922,88,982,148
speedLimit25,447,193,461,210
speedLimit25,469,189,483,207
speedLimit25,529,183,546,203
speedLimit25,526,191,543,211
speedLimit25,522,189,540,210
speedLimit25,518,191,536,213
speedLimit25,515,191,533,213
speedLimit25,512,191,531,213
speedLimit25,511,191,530,213
speedLimit25,511,191,530,213
speedLimit25,512,192,531,216
speedLimit25,513,193,532,217
speedLimit25,516,193,535,217
speedLimit25,518,193,537,217
speedLimit25,523,192,542,216
speedLimit25,529,192,549,217
speedLimit25,539,192,559,217
speedLimit25,551,191,572,216
speedLimit25,566,189,587,214
speedLimit25,586,187,608,214
speedLimit25,610,183,632,210
speedLimit25,638,178,661,206
speedLimit25,668,175,692,203
speedLimit25,697,168,722,198
speedLimit25,719,162,746,194
speedLimit25,729,156,758,190
speedLimit25,731,150,761,187
speedLimit25,734,142,765,181
speedLimit25,744,134,777,175
speedLimit25,761,125,797,170
speedLimit25,785,107,828,157
speedLimit25,831,92,878,149
stop,376,138,413,175
stop,709,203,726,227
stop,412,145,451,185
stop,759,215,776,241
stop,450,145,490,185
stop,810,218,828,244
stop,487,132,530,176
stop,862,212,881,239
stop,531,128,577,174
stop,921,214,940,242
stop,579,128,628,178
stop,985,218,1004,247
pedestrianCrossing,5,193,25,213
stop,634,122,687,176
pedestrianCrossing,40,192,61,213
stop,693,111,750,169
pedestrianCrossing,75,186,98,208
stop,757,102,818,164
pedestrianCrossing,110,187,133,209
stop,827,94,893,162
pedestrianCrossing,144,190,167,212
stop,903,81,976,155
pedestrianCrossing,179,190,202,212
pedestrianCrossing,208,184,232,207
pedestrianCrossing,231,179,255,202
pedestrianCrossing,300,193,326,219
pedestrianCrossing,320,183,347,210
pedestrianCrossing,338,175,367,203
pedestrianCrossing,355,179,384,207
pedestrianCrossing,364,179,393,208
pedestrianCrossing,367,175,396,204
pedestrianCrossing,372,181,401,210
pedestrianCrossing,373,181,402,210
pedestrianCrossing,373,187,402,216
pedestrianCrossing,373,188,402,217
pedestrianCrossing,373,189,402,218
pedestrianCrossing,375,191,404,220
